Country,% of Protected Land,Source,Spacing_Ranking,No. of 4*+ Campsites,Source,Camp_Ranking,No. of Hiking Trails,Source,Hiking_Ranking,No. of Outdoors Activities,Outdoors_Ranking,Stargazing (lower light pollution),Stargazing_Ranking,Overall ranking,FINAL RANK
Albania,18.59,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,26,27,https://www.camping.info/en/country/albania?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,27,31,https://www.alltrails.com/albania,41,225,19,0.573,15,128,28
Andorra,26.86,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,17,3,https://www.camping.info/en/country/andorra?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,39,78,https://www.alltrails.com/andorra,37,273,15,2.722,37,145,38
Austria,29.28,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,13,218,https://www.camping.info/en/country/austria?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,9,6915,https://www.alltrails.com/austria,8,175,22,0.656,18,70,6
Belarus,13.84,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,33,4,https://www.camping.info/en/country/belarus?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,37,47,https://www.alltrails.com/belarus,39,77,29,0.172,3,141,36
Belgium,15.49,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,30,67,https://www.camping.info/en/country/belgium?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,17,5950,https://www.alltrails.com/belgium,11,39,36,4.709,41,135,30
Bosnia and Herzegovina,3.97,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,43,30,https://www.camping.info/en/country/bosnia-herzegovina?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,24,98,https://www.alltrails.com/bosnia-herzegovina,35,149,25,0.504,13,140,33
Bulgaria,41.04,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,3,17,https://www.camping.info/en/country/bulgaria?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,34,275,https://www.alltrails.com/bulgaria,27,287,14,0.477,10,88,12
Croatia,38.36,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,7,158,https://www.camping.info/en/country/croatia?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,12,4211,https://www.alltrails.com/croatia,16,644,7,1.084,25,67,5
Cyprus,38.6,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,6,1,https://www.camping.info/en/country/cyprus?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,42,239,https://www.alltrails.com/cyprus,30,120,27,2.74,38,143,37
Czech Republic,22.16,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,22,102,https://www.camping.info/en/country/czech-republic?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,14,5155,https://www.alltrails.com/czech-republic,14,179,21,1.216,31,102,20
Denmark,16.97,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,29,241,https://www.camping.info/en/country/denmark?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,8,6265,https://www.alltrails.com/denmark,10,22,40,0.709,20,107,21
Estonia,21.33,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,24,19,https://www.camping.info/en/country/estonia?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,33,262,https://www.alltrails.com/estonia,28,58,32,0.428,9,126,26
Finland,13.33,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,35,58,https://www.camping.info/en/country/finland?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,19,2779,https://www.alltrails.com/finland,19,432,9,0.656,17,99,19
France,27.98,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,16,1792,https://www.camping.info/en/country/france?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,1,33358,https://www.alltrails.com/france,2,437,8,1.34,32,59,3
Georgia,9.29,https://www.indexmundi.com/facts/indicators/ER.LND.PTLD.ZS/rankings,40,0,https://www.camping.info/en/country/georgia?order=rating&adults=2&flex=2&rating_avg_overall__gte=4,43,126,https://www.alltrails.com/georgia,34,26,39,0.364,8,164,41
